epoch,train_loss,val_loss,lr,epoch_time_sec,train_loss_std,loss_dose_1.0,loss_dose_0.5,loss_dose_0.25,loss_dose_0.1,val_loss_dose_1.0,val_loss_dose_0.5,val_loss_dose_0.25,val_loss_dose_0.1
1,0.009539,0.010234,1.00e-03,2150.5,0.008062,0.000501,0.005517,0.010429,0.024392,0.001682,0.006960,0.011488,0.024421
2,0.009830,0.009584,1.00e-03,2032.6,0.008066,0.000444,0.005486,0.010228,0.023933,0.001126,0.006073,0.010649,0.024416
3,0.009735,0.009367,1.00e-03,2036.0,0.008031,0.000412,0.005412,0.010103,0.023791,0.000948,0.005943,0.010539,0.023813
4,0.009551,0.009417,1.00e-03,2031.6,0.007799,0.000384,0.005328,0.010050,0.023136,0.001247,0.006110,0.010575,0.023383
5,0.009478,0.009569,1.00e-03,2051.3,0.007787,0.000333,0.005273,0.009960,0.023042,0.001258,0.006359,0.010740,0.023496
6,0.009419,0.009365,1.00e-03,2042.7,0.007798,0.000284,0.005205,0.009885,0.023012,0.001071,0.006003,0.010551,0.023481
7,0.009379,0.009476,1.00e-03,2049.8,0.007756,0.000268,0.005190,0.009863,0.022887,0.001182,0.006276,0.010690,0.023293
8,0.009373,0.009406,1.00e-03,2030.2,0.007803,0.000240,0.005211,0.009749,0.023018,0.001044,0.006237,0.010662,0.023173
9,0.009358,0.009468,1.00e-03,2049.3,0.007789,0.000232,0.005166,0.009801,0.022945,0.001152,0.006324,0.010711,0.023176
10,0.009340,0.009349,1.00e-03,2055.6,0.007751,0.000229,0.005181,0.009795,0.022846,0.001045,0.006210,0.010527,0.023126
11,0.009315,0.009338,1.00e-03,2051.0,0.007767,0.000217,0.005143,0.009734,0.022880,0.001031,0.006121,0.010523,0.023252
12,0.009286,0.009425,1.00e-03,2060.6,0.007740,0.000219,0.005150,0.009682,0.022804,0.001192,0.006253,0.010560,0.023241
13,0.009273,0.009434,1.00e-03,2044.6,0.007736,0.000215,0.005124,0.009694,0.022770,0.001235,0.006196,0.010648,0.023216
14,0.009268,0.009206,1.00e-03,2047.3,0.007721,0.000207,0.005112,0.009711,0.022742,0.001038,0.006034,0.010311,0.022944
15,0.009288,0.009126,1.00e-03,2044.9,0.007727,0.000205,0.005125,0.009765,0.022745,0.000982,0.005847,0.010330,0.022885
16,0.009269,0.009227,1.00e-03,2062.6,0.007751,0.000203,0.005086,0.009695,0.022812,0.001044,0.006018,0.010368,0.023001
17,0.009280,0.009312,1.00e-03,2071.3,0.007789,0.000200,0.005094,0.009655,0.022911,0.001129,0.005993,0.010690,0.022950
18,0.009259,0.009326,1.00e-03,2090.0,0.007775,0.000203,0.005087,0.009618,0.022873,0.001278,0.006252,0.010399,0.022795
19,0.009240,0.009267,1.00e-03,2069.1,0.007749,0.000194,0.005086,0.009616,0.022796,0.001225,0.006114,0.010358,0.022833
20,0.009226,0.009267,1.00e-03,2078.1,0.007701,0.000195,0.005106,0.009632,0.022675,0.001276,0.006096,0.010390,0.022756
21,0.009260,0.009115,1.00e-03,2085.2,0.007772,0.000194,0.005063,0.009674,0.022841,0.000929,0.005939,0.010316,0.022694
22,0.009237,0.009202,1.00e-03,2107.3,0.007741,0.000192,0.005082,0.009629,0.022767,0.001094,0.005959,0.010350,0.022924
23,0.009228,0.009145,1.00e-03,2132.5,0.007711,0.000190,0.005083,0.009662,0.022681,0.000957,0.005881,0.010437,0.022819
24,0.009216,0.009132,1.00e-03,2123.8,0.007721,0.000190,0.005067,0.009617,0.022710,0.001044,0.005969,0.010267,0.022705
25,0.009223,0.009170,1.00e-03,2122.1,0.007760,0.000187,0.005065,0.009568,0.022821,0.000964,0.005879,0.010558,0.022761
26,0.009213,0.009149,1.00e-03,2133.5,0.007722,0.000188,0.005065,0.009619,0.022700,0.001004,0.005997,0.010321,0.022723
27,0.009204,0.009203,5.00e-04,2141.9,0.007722,0.000185,0.005032,0.009633,0.022683,0.001241,0.006071,0.010263,0.022677
28,0.009191,0.009154,5.00e-04,2146.1,0.007731,0.000177,0.005008,0.009600,0.022709,0.001185,0.005918,0.010353,0.022646
29,0.009193,0.009150,5.00e-04,2150.8,0.007723,0.000175,0.005048,0.009575,0.022702,0.001122,0.005997,0.010265,0.022652
30,0.009208,0.009116,5.00e-04,2152.7,0.007719,0.000180,0.005023,0.009675,0.022658,0.001127,0.005934,0.010244,0.022612
31,0.009209,0.009117,5.00e-04,2168.5,0.007742,0.000177,0.005043,0.009604,0.022740,0.001024,0.005937,0.010296,0.022680
